,Response.Self_Predicted,Response.Self_Actual
0,0.0,4.95625
1,0.0,4.95625
2,0.0,4.95625
3,0.0,4.95625
4,0.0,4.95625
5,0.0,4.95625
6,0.0,4.95625
7,0.0,4.95625
8,0.0,4.95625
9,0.0,4.95625
10,0.0,4.95625
11,0.0,4.95625
12,0.0,4.95625
13,0.0,4.95625
14,0.0,4.95625
15,0.0,4.95625
16,0.0,4.95625
17,0.0,4.95625
18,0.0,4.95625
19,0.0,4.95625
20,0.0,4.95625
21,0.0,4.95625
22,0.0,4.95625
23,0.0,4.95625
24,0.0,4.95625
25,0.0,4.95625
26,0.0,4.95625
27,0.0,4.95625
28,0.0,4.95625
29,0.0,4.95625
30,0.0,3.4984375
31,0.0,3.165625
32,0.0,2.7296875
33,0.0,2.0875
34,0.0,2.0875
35,0.0,2.0875
36,0.0,2.0875
37,0.0,2.0875
38,0.0,2.0875
39,0.0,2.9453125
40,0.0,2.9453125
41,0.0,2.9453125
42,0.0,2.9453125
43,0.0,2.9453125
44,0.0,2.9453125
45,0.0,2.9453125
46,0.0,2.9453125
47,0.0,2.9453125
48,0.0,2.9453125
49,0.0,2.9453125
50,0.0,2.9453125
51,0.0,2.9453125
52,0.0,2.9453125
53,0.0,2.9453125
54,0.0,2.9453125
55,0.0,2.9453125
56,0.0,2.9453125
57,0.0,2.9453125
58,0.0,2.9453125
59,0.0,2.9453125
60,0.0,3.10703125
61,0.0,3.1609375
62,0.0,3.1609375
63,0.0,3.1609375
64,0.0,3.259375
65,0.0,3.259375
66,0.0,3.71640625
67,0.0,3.765625
68,0.0,3.765625
69,0.0,3.765625
70,0.0,3.765625
71,0.0,3.765625
72,0.0,3.765625
73,0.0,3.765625
74,0.0,3.765625
75,0.0,3.765625
76,0.0,3.765625
77,0.0,3.765625
78,0.0,3.765625
79,0.0,3.765625
80,0.0,3.765625
81,0.0,3.765625
82,0.0,3.765625
83,0.0,3.765625
84,0.0,3.765625
85,0.0,3.765625
86,0.0,3.765625
87,0.0,3.765625
88,0.0,3.765625
89,0.0,3.765625
90,0.0,3.765625
91,0.0,3.765625
92,0.0,3.765625
93,0.0,3.765625
94,0.0,3.765625
95,0.0,3.765625
96,0.0,3.765625
97,0.0,3.765625
98,0.0,3.765625
99,0.0,3.765625
100,0.0,3.765625
101,0.0,3.765625
102,0.0,3.765625
103,0.0,3.765625
104,0.0,3.765625
105,0.0,3.765625
106,0.0,3.765625
107,0.0,3.765625
108,0.0,3.765625
109,0.0,3.765625
110,0.0,3.765625
111,0.0,3.765625
112,0.0,3.765625
113,0.0,3.765625
114,0.0,3.765625
115,0.0,3.765625
116,0.0,3.765625
117,0.0,3.765625
118,0.0,3.765625
119,0.0,3.765625
120,0.0,3.765625
121,0.0,3.765625
122,0.0,3.765625
123,0.0,3.765625
124,0.0,3.765625
125,0.0,3.765625
126,0.0,3.765625
127,0.0,3.765625
128,0.0,3.765625
129,0.0,3.765625
130,0.0,3.765625
131,0.0,3.765625
132,0.0,3.765625
133,0.0,3.765625
134,0.0,3.765625
135,0.0,3.765625
136,0.0,3.765625
137,0.0,3.765625
138,0.0,3.765625
139,0.0,3.765625
140,0.0,3.765625
141,0.0,3.765625
142,0.0,3.765625
143,0.0,3.765625
144,0.0,3.765625
145,0.0,3.765625
146,0.0,3.765625
147,0.0,3.765625
148,0.0,3.765625
149,0.0,3.765625
150,0.0,3.765625
151,0.0,3.765625
152,0.0,3.765625
153,0.0,3.765625
154,0.0,3.765625
155,0.0,3.765625
156,0.0,3.765625
157,0.0,3.765625
158,0.0,3.765625
159,0.0,3.765625
160,0.0,3.765625
161,0.0,3.765625
162,0.0,3.765625
163,0.0,3.765625
164,0.0,3.765625
165,0.0,3.765625
166,0.0,3.765625
167,0.0,3.765625
168,0.0,3.765625
169,0.0,3.765625
170,0.0,3.765625
171,0.0,3.765625
172,0.0,3.765625
173,0.0,3.765625
174,0.0,3.765625
175,0.0,3.765625
176,0.0,3.765625
177,0.0,3.765625
178,0.0,3.765625
179,0.0,3.765625
180,0.0,3.765625
181,0.0,3.765625
182,0.0,3.765625
183,0.0,3.765625
184,0.0,3.765625
185,0.0,3.765625
186,0.0,3.765625
187,0.0,3.765625
188,0.0,3.765625
189,0.0,3.765625
190,0.0,3.765625
191,0.0,3.765625
192,0.0,3.765625
193,0.0,3.765625
194,0.0,3.765625
195,0.0,3.765625
196,0.0,3.765625
197,0.0,3.765625
198,0.0,3.765625
199,0.0,3.765625
200,0.0,3.765625
201,0.0,3.765625
202,0.0,3.765625
203,0.0,3.765625
204,0.0,3.765625
205,0.0,3.765625
206,0.0,3.765625
207,0.0,3.765625
208,0.0,3.765625
209,0.0,3.765625
210,0.0,3.765625
211,0.0,3.765625
212,0.0,3.765625
213,0.0,3.765625
214,0.0,3.765625
215,0.0,3.765625
216,0.0,3.765625
217,0.0,3.765625
218,0.0,3.765625
219,0.0,3.765625
220,0.0,3.765625
221,0.0,3.765625
222,0.0,3.765625
223,0.0,3.765625
224,0.0,3.765625
225,0.0,3.765625
226,0.0,3.765625
227,0.0,3.765625
228,0.0,3.765625
229,0.0,3.765625
230,0.0,3.765625
231,0.0,3.765625
232,0.0,3.765625
233,0.0,3.765625
234,0.0,3.765625
235,0.0,3.765625
236,0.0,3.765625
237,0.0,3.765625
238,0.0,3.765625
239,0.0,3.765625
240,0.0,3.765625
241,0.0,3.765625
242,0.0,3.765625
243,0.0,3.765625
244,0.0,3.765625
245,0.0,3.765625
246,0.0,3.765625
247,0.0,3.765625
248,0.0,3.765625
249,0.0,3.765625
250,0.0,3.765625
251,0.0,3.765625
252,0.0,3.765625
253,0.0,3.765625
254,0.0,3.765625
255,0.0,3.765625
256,0.0,3.765625
257,0.0,3.765625
258,0.0,3.765625
259,0.0,3.765625
260,0.0,3.765625
261,0.0,3.765625
262,0.0,3.765625
263,0.0,3.765625
264,0.0,3.765625
265,0.0,3.765625
266,0.0,3.765625
267,0.0,3.765625
268,0.0,3.765625
269,0.0,3.765625
270,0.0,3.765625
271,0.0,3.765625
272,0.0,3.765625
273,0.0,3.765625
274,0.0,3.765625
275,0.0,3.765625
276,0.0,3.765625
277,0.0,3.765625
278,0.0,3.765625
279,0.0,3.765625
280,0.0,3.765625
281,0.0,3.765625
282,0.0,3.765625
283,0.0,3.765625
284,0.0,3.765625
285,0.0,3.765625
286,0.0,3.765625
287,0.0,3.765625
288,0.0,3.765625
289,0.0,3.765625
290,0.0,3.765625
291,0.0,3.765625
292,0.0,3.765625
293,0.0,3.765625
294,0.0,3.765625
295,0.0,3.765625
296,0.0,3.765625
297,0.0,3.765625
298,0.0,3.765625
299,0.0,3.765625
300,0.0,3.765625
301,0.0,3.765625
302,0.0,3.765625
303,0.0,3.765625
